コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
2220	亀田製菓	未保有	対象外	1209	対象外	17.78	0.74	4.18	1.99	54.68	5.45	食料品	📈【B】 2026/05/13 決算。売上+33.69、純利益+354.99。 【ファンダメンタル確認値】現在値1209、PER17.78、PBR0.74、ROE4.18、配当利回り1.99、自己資本比率54.68、営業利益率5.45 【直近材料補強 2026/06/29】バリュエーション: PER17.78倍は中立圏、PBR0.74倍でPBR1倍割れ改善余地。 クオリティ: ROE4.18%で資本効率改善待ち。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2220 / 株探決算:https://kabutan.jp/stock/finance?code=2220
2229	カルビー	未保有	対象外	2898	対象外	20.25	1.67	8.26	2.38	64.28	9.60	食料品	📈【A】 2026/06/26 価格改定、2026/06/02 自己株式取得関連。 【ファンダメンタル確認値】現在値2898、PER20.25、PBR1.67、ROE8.26、配当利回り2.38、自己資本比率64.28、営業利益率9.60 【直近材料補強 2026/06/29】バリュエーション: PER20.25倍は中立圏。 クオリティ: 自己資本比率64.28%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2229 / 株探決算:https://kabutan.jp/stock/finance?code=2229
2269	明治ホールディングス	未保有	対象外	3786	対象外	16.42	1.33	8.09	2.91	61.23	7.73	食料品	📈【B】 26/3期営業利益+7.44、経常利益+13.40予想。 【ファンダメンタル確認値】現在値3786、PER16.42、PBR1.33、ROE8.09、配当利回り2.91、自己資本比率61.23、営業利益率7.73 【直近材料補強 2026/06/29】バリュエーション: PER16.42倍は中立圏。 クオリティ: 自己資本比率61.23%で財務安全性高め。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2269 / 株探決算:https://kabutan.jp/stock/finance?code=2269
2270	雪印メグミルク	未保有	対象外	3685	対象外	9.11	0.94	10.31	2.71	55.68	2.97	食料品	📈【A】 2026/06/02 自己株式取得状況、代表取締役異動。 【ファンダメンタル確認値】現在値3685、PER9.11、PBR0.94、ROE10.31、配当利回り2.71、自己資本比率55.68、営業利益率2.97 【直近材料補強 2026/06/29】バリュエーション: PER9.11倍で利益面は割安寄り、PBR0.94倍でPBR1倍割れ改善余地。 クオリティ: 営業利益率2.97%で採算改善が課題。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2270 / 株探決算:https://kabutan.jp/stock/finance?code=2270
2282	日本ハム	未保有	対象外	6091	対象外	15.09	1.07	7.08	8.87	53.83	3.95	食料品	📈【S】 2026/05/08 自己株式取得枠、株式分割、優待変更。 【ファンダメンタル確認値】現在値6091、PER15.09、PBR1.07、ROE7.08、配当利回り8.87、自己資本比率53.83、営業利益率3.95 【直近材料補強 2026/06/29】バリュエーション: PER15.09倍は中立圏。 クオリティ: 営業利益率3.95%で採算改善が課題。 株主還元: 配当利回り8.87%で高配当候補。 直近イベント解釈: M&A/提携による成長・再編材料、株式分割による流動性/個人投資家需給材料、優待関連の個人投資家需給材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2282 / 株探決算:https://kabutan.jp/stock/finance?code=2282
2288	丸大食品	未保有	対象外	2239	対象外	8.50	0.71	8.41	3.57	61.07	2.33	食料品	📈【B】 2026/06/01 自己株式取得状況、2026/05/14 中間配当制度導入。 【ファンダメンタル確認値】現在値2239、PER8.50、PBR0.71、ROE8.41、配当利回り3.57、自己資本比率61.07、営業利益率2.33 【直近材料補強 2026/06/29】バリュエーション: PER8.5倍で利益面は割安寄り、PBR0.71倍でPBR1倍割れ改善余地。 クオリティ: 営業利益率2.33%で採算改善が課題、自己資本比率61.07%で財務安全性高め。 株主還元: 配当利回り3.57%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2288 / 株探決算:https://kabutan.jp/stock/finance?code=2288
2331	綜合警備保障	未保有	対象外	1067	対象外	13.90	1.35	9.72	3.09	56.83	7.86	サービス業	📈【B】 2026/06/05 TOB関連訂正、2026/06/01 自己株式取得状況。 【ファンダメンタル確認値】現在値1067、PER13.90、PBR1.35、ROE9.72、配当利回り3.09、自己資本比率56.83、営業利益率7.86 【直近材料補強 2026/06/29】バリュエーション: PER13.9倍は中立圏。 株主還元: 配当利回り3.09%でインカム妙味。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2331 / 株探決算:https://kabutan.jp/stock/finance?code=2331
2334	イオレ	未保有	対象外	606	対象外	19.55	7.10	36.31	0.00	31.63	1.41	サービス業	📉【D】 2026/06/19 Anthropic投資目的SPV持分取得契約解消。 【ファンダメンタル確認値】現在値606、PER19.55、PBR7.10、ROE36.31、配当利回り0.00、自己資本比率31.63、営業利益率1.41 【直近材料補強 2026/06/29】バリュエーション: PER19.55倍は中立圏、PBR7.1倍で資産面の割安感は薄い。 クオリティ: ROE36.31%で資本効率は強め、営業利益率1.41%で採算改善が課題。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2334 / 株探決算:https://kabutan.jp/stock/finance?code=2334
2341	アルバイトタイムス	未保有	対象外	159	対象外	20.92	1.02	4.87	3.14	79.04	3.39	サービス業	➖【C】 2026/04/09 自己株式消却、財務安全性は高いがROE低め。 【ファンダメンタル確認値】現在値159、PER20.92、PBR1.02、ROE4.87、配当利回り3.14、自己資本比率79.04、営業利益率3.39 【直近材料補強 2026/06/29】バリュエーション: PER20.92倍は中立圏。 クオリティ: ROE4.87%で資本効率改善待ち、営業利益率3.39%で採算改善が課題、自己資本比率79.04%で財務安全性高め。 株主還元: 配当利回り3.14%でインカム妙味。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2341 / 株探決算:https://kabutan.jp/stock/finance?code=2341
2371	カカクコム	未保有	対象外	3310	対象外	31.63	10.08	31.85	1.63	70.28	28.94	サービス業	📈【A】 2026/06/04 公開買付関連訂正、ROE高いがPBR高い。 【ファンダメンタル確認値】現在値3310、PER31.63、PBR10.08、ROE31.85、配当利回り1.63、自己資本比率70.28、営業利益率28.94 【直近材料補強 2026/06/29】バリュエーション: PER31.63倍で期待先行/割高感に注意、PBR10.08倍で資産面の割安感は薄い。 クオリティ: ROE31.85%で資本効率は強め、営業利益率28.94%で高収益、自己資本比率70.28%で財務安全性高め。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2371 / 株探決算:https://kabutan.jp/stock/finance?code=2371
2378	ルネサンス	未保有	対象外	996	対象外	37.68	1.95	5.17	1.31	16.97	2.65	サービス業	📉【D】 26/3期純損失21.06億円、減損30.56億円。 【ファンダメンタル確認値】現在値996、PER37.68、PBR1.95、ROE5.17、配当利回り1.31、自己資本比率16.97、営業利益率2.65 【直近材料補強 2026/06/29】バリュエーション: PER37.68倍で期待先行/割高感に注意。 クオリティ: ROE5.17%で資本効率改善待ち、営業利益率2.65%で採算改善が課題、自己資本比率16.97%で財務レバレッジに注意。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2378 / 株探決算:https://kabutan.jp/stock/finance?code=2378
2412	ベネフィット・ワン	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止/第一生命HD完全子会社化済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
2432	ディー・エヌ・エー	未保有	対象外	2358	対象外	13.29	1.09	8.19	2.80	69.81	12.66	サービス業	📈【A】 2026/06/16 GO上場に伴う持分法投資利益計上。 【ファンダメンタル確認値】現在値2358、PER13.29、PBR1.09、ROE8.19、配当利回り2.80、自己資本比率69.81、営業利益率12.66 【直近材料補強 2026/06/29】バリュエーション: PER13.29倍は中立圏。 クオリティ: 自己資本比率69.81%で財務安全性高め。 セクター材料: 人材/警備/教育/外食/レジャーなど個社差が大きい。人件費上昇と価格転嫁が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2432 / 株探決算:https://kabutan.jp/stock/finance?code=2432
2531	宝ホールディングス	未保有	対象外	2230	対象外	36.14	1.66	4.59	1.39	50.50	4.33	食料品	📉【D】 26/3期営業利益-17.1、純利益-27.8。 【ファンダメンタル確認値】現在値2230、PER36.14、PBR1.66、ROE4.59、配当利回り1.39、自己資本比率50.50、営業利益率4.33 【直近材料補強 2026/06/29】バリュエーション: PER36.14倍で期待先行/割高感に注意。 クオリティ: ROE4.59%で資本効率改善待ち、営業利益率4.33%で採算改善が課題。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2531 / 株探決算:https://kabutan.jp/stock/finance?code=2531
2587	サントリー食品インターナショナル	未保有	対象外	4449	対象外	15.45	1.05	6.77	2.70	60.31	8.67	食料品	📈【B】 2026/06/18 価格改定、2026/05/13 1Q決算。 【ファンダメンタル確認値】現在値4449、PER15.45、PBR1.05、ROE6.77、配当利回り2.70、自己資本比率60.31、営業利益率8.67 【直近材料補強 2026/06/29】バリュエーション: PER15.45倍は中立圏。 クオリティ: 自己資本比率60.31%で財務安全性高め。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2587 / 株探決算:https://kabutan.jp/stock/finance?code=2587
2670	エービーシー・マート	未保有	対象外	2850	対象外	15.21	1.77	11.66	2.81	87.45	16.71	小売業	📈【A】 2026/06/01 韓国FOLDER事業譲受け。 【ファンダメンタル確認値】現在値2850、PER15.21、PBR1.77、ROE11.66、配当利回り2.81、自己資本比率87.45、営業利益率16.71 【直近材料補強 2026/06/29】バリュエーション: PER15.21倍は中立圏。 クオリティ: 営業利益率16.71%で高収益、自己資本比率87.45%で財務安全性高め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2670 / 株探決算:https://kabutan.jp/stock/finance?code=2670
2678	アスクル	未保有	対象外	1212	対象外	16.44	1.95	11.85	0.83	25.08	-5.19	小売業	📈【B】 2026/06/03 代表取締役異動、月次開示。 【ファンダメンタル確認値】現在値1212、PER16.44、PBR1.95、ROE11.85、配当利回り0.83、自己資本比率25.08、営業利益率-5.19 【直近材料補強 2026/06/29】バリュエーション: PER16.44倍は中立圏。 クオリティ: 営業利益率-5.19%で採算改善が課題。 株主還元: 配当利回り0.83%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2678 / 株探決算:https://kabutan.jp/stock/finance?code=2678
2695	くら寿司	未保有	対象外	1574	対象外	41.70	1.95	4.67	0.95	39.11	1.98	小売業	➖【C】 2026/06/12 2Q決算。高PER・低ROE。 【ファンダメンタル確認値】現在値1574、PER41.70、PBR1.95、ROE4.67、配当利回り0.95、自己資本比率39.11、営業利益率1.98 【直近材料補強 2026/06/29】バリュエーション: PER41.7倍で期待先行/割高感に注意。 クオリティ: ROE4.67%で資本効率改善待ち、営業利益率1.98%で採算改善が課題。 株主還元: 配当利回り0.95%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2695 / 株探決算:https://kabutan.jp/stock/finance?code=2695
2698	キャンドゥ	未保有	対象外	3405	対象外	121.08	5.17	4.27	0.50	31.92	1.76	小売業	➖【C】 2026/06/08 月次、PER高くROE低め。 【ファンダメンタル確認値】現在値3405、PER121.08、PBR5.17、ROE4.27、配当利回り0.50、自己資本比率31.92、営業利益率1.76 【直近材料補強 2026/06/29】バリュエーション: PER121.08倍で期待先行/割高感に注意、PBR5.17倍で資産面の割安感は薄い。 クオリティ: ROE4.27%で資本効率改善待ち、営業利益率1.76%で採算改善が課題。 株主還元: 配当利回り0.5%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2698 / 株探決算:https://kabutan.jp/stock/finance?code=2698
2751	テンポスホールディングス	未保有	対象外	3670	対象外	16.02	2.51	15.64	0.25	60.35	5.39	卸売業	📈【B】 2026/06/10 26/4期決算。 【ファンダメンタル確認値】現在値3670、PER16.02、PBR2.51、ROE15.64、配当利回り0.25、自己資本比率60.35、営業利益率5.39 【直近材料補強 2026/06/29】バリュエーション: PER16.02倍は中立圏、PBR2.51倍で資産面の割安感は薄い。 クオリティ: ROE15.64%で資本効率は強め、自己資本比率60.35%で財務安全性高め。 株主還元: 配当利回り0.25%で還元妙味は弱め。 セクター材料: 資源/食品/部材商社・円安・在庫評価・株主還元がテーマ。市況依存とキャッシュ創出力を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2751 / 株探決算:https://kabutan.jp/stock/finance?code=2751
2764	ひらまつ	未保有	対象外	140	対象外	34.34	1.62	4.73	0.87	51.16	2.02	小売業	📈【B】 27/3期営業利益+70.4予想、復配予定。 【ファンダメンタル確認値】現在値140、PER34.34、PBR1.62、ROE4.73、配当利回り0.87、自己資本比率51.16、営業利益率2.02 【直近材料補強 2026/06/29】バリュエーション: PER34.34倍で期待先行/割高感に注意。 クオリティ: ROE4.73%で資本効率改善待ち、営業利益率2.02%で採算改善が課題。 株主還元: 配当利回り0.87%で還元妙味は弱め。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2764 / 株探決算:https://kabutan.jp/stock/finance?code=2764
2802	味の素	未保有	対象外	5721	対象外	45.69	7.11	15.57	0.87	42.53	12.59	食料品	📈【S】 26/3期営業利益+75.0、増配、自社株買い、子会社化材料。 【ファンダメンタル確認値】現在値5721、PER45.69、PBR7.11、ROE15.57、配当利回り0.87、自己資本比率42.53、営業利益率12.59 【直近材料補強 2026/06/29】バリュエーション: PER45.69倍で期待先行/割高感に注意、PBR7.11倍で資産面の割安感は薄い。 クオリティ: ROE15.57%で資本効率は強め。 株主還元: 配当利回り0.87%で還元妙味は弱め、既存材料に明示的な還元関連の記載あり、継続性を確認。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2802 / 株探決算:https://kabutan.jp/stock/finance?code=2802
2809	キユーピー	未保有	対象外	4205	対象外	22.73	1.79	7.86	1.55	67.18	6.26	食料品	📈【A】 1Q営業利益+35.0、自社株式取得状況。 【ファンダメンタル確認値】現在値4205、PER22.73、PBR1.79、ROE7.86、配当利回り1.55、自己資本比率67.18、営業利益率6.26 【直近材料補強 2026/06/29】バリュエーション: PER22.73倍は中立圏。 クオリティ: 自己資本比率67.18%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 値上げ浸透・原材料価格・円安耐性・インバウンド/外食需要がテーマ。価格改定後の数量減リスクを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=2809 / 株探決算:https://kabutan.jp/stock/finance?code=2809
